股票代码,交易日,昨收盘(元),今开盘(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元)
00915,20190107,0.226,0.235,0.235,0.234,0.235,63000.0,14803.0
00704,20190122,0.28,0.275,0.285,0.275,0.28,16961200.0,4718360.0
01547,20190128,0.435,0.43,0.43,0.425,0.43,128000.0,54640.0
669 HK,20190122,46.75,46.85,47.5,46.05,46.65,2349644.0,109910910.0
00929,20190123,1.05,1.05,1.05,1.05,1.05,0.0,0.0
02336,20190110,0.38,0.38,0.38,0.38,0.38,0.0,0.0
01720,20190117,2.74,2.75,2.75,2.64,2.67,6212000.0,16664000.0
08086,20190131,0.116,0.119,0.127,0.11,0.11,6383200.0,776940.0
03393,20190115,3.78,3.76,3.81,3.74,3.8,214000.0,806700.0
08319,20190129,0.088,0.083,0.105,0.081,0.105,790000.0,67020.0
02399,20190124,7.6,7.6,7.6,7.6,7.6,0.0,0.0
168 HK,20190125,33.95,33.85,34.8,33.85,34.6,1512000.0,51943450.0
3308 HK,20190131,8.25,8.37,8.65,8.27,8.41,89000.0,746140.0
01683,20190129,0.9,0.9,0.9,0.9,0.9,0.0,0.0
08429,20190123,0.67,0.66,0.72,0.66,0.71,1265000.0,864200.0
03999,20190118,0.39,0.38,0.4,0.38,0.39,29000.0,11330.0
01632,20190108,1.29,1.36,1.36,1.3,1.3,52000.0,68780.0
08116,20190102,0.024,0.024,0.024,0.024,0.024,0.0,0.0
00188,20190121,0.057,0.057,0.059,0.055,0.058,11057468.0,636235.0
670 HK,20190114,4.65,4.67,4.67,4.47,4.55,7204002.0,32760999.0
08455,20190125,0.395,0.345,0.345,0.345,0.345,20000.0,6900.0
2727 HK,20190121,2.66,2.66,2.68,2.63,2.65,3621995.0,9614926.0
02048,20190111,13.54,13.5,13.5,13.5,13.5,0.0,0.0
02878,20190123,0.203,0.206,0.206,0.2,0.201,84000.0,16954.0
08069,20190111,0.58,0.56,0.56,0.5,0.51,50000.0,26200.0
00583,20190131,0.59,0.59,0.66,0.57,0.65,3720000.0,2339240.0
08119,20190129,0.31,0.32,0.32,0.32,0.32,150000.0,48000.0
02386,20190102,6.43,6.53,6.54,6.39,6.53,1603616.0,10402080.0
1799 HK,20190109,7.9,7.9,7.9,7.9,7.9,0.0,0.0
1918 HK,20190107,24.1,24.7,24.95,24.05,24.45,14072864.0,342733743.0
3999 HK,20190128,0.395,0.4,0.4,0.39,0.39,103000.0,40715.0
08400,20190122,0.137,0.14,0.15,0.14,0.148,460000.0,68110.0
02102,20190107,0.27,0.27,0.27,0.27,0.27,0.0,0.0
08606,20190109,0.145,0.147,0.148,0.135,0.138,1630000.0,227450.0
02317,20190116,0.79,0.79,0.79,0.79,0.79,0.0,0.0
00804,20190104,0.11,0.11,0.12,0.11,0.12,1010000.0,115130.0
1109 HK,20190114,31.25,30.85,31.3,30.6,30.9,9121302.0,281876946.0
00423,20190110,1.35,1.35,1.37,1.34,1.35,882000.0,1185220.0
00293,20190102,11.14,11.1,11.14,11.0,11.12,857000.0,9519843.0
00864,20190122,0.8,0.8,0.8,0.8,0.8,0.0,0.0
00300,20190111,2.49,2.49,2.49,2.49,2.49,0.0,0.0
2208 HK,20190104,6.33,6.5,6.62,6.25,6.5,2761388.0,17876001.0
2607 HK,20190125,16.7,16.88,16.96,16.56,16.86,2207100.0,37187960.0
3899 HK,20190130,6.51,6.61,6.83,6.48,6.7,3630000.0,24315660.0
08193,20190121,0.4,0.4,0.4,0.4,0.4,0.0,0.0
1031 HK,20190114,1.93,1.91,1.93,1.86,1.93,792000.0,1494300.0
1858 HK,20190117,21.0,21.0,21.9,21.0,21.65,214600.0,4567720.0
842 HK,20190131,0.57,0.57,0.59,0.57,0.58,821000.0,471440.0
828 HK,20190130,1.44,1.44,1.44,1.44,1.44,0.0,0.0
02722,20190118,0.58,0.57,0.58,0.56,0.58,708000.0,405500.0
01888,20190121,7.73,7.89,7.9,7.68,7.88,6048074.0,47400863.0
08029,20190109,0.28,0.28,0.29,0.28,0.29,120000.0,34200.0
03883,20190123,5.49,5.46,5.58,5.44,5.48,4572000.0,25222850.0
02232,20190124,4.36,4.4,4.48,4.34,4.48,1109500.0,4899280.0
08326,20190108,0.275,0.275,0.28,0.275,0.275,52000.0,14310.0
3382 HK,20190129,0.91,0.9,0.92,0.9,0.92,1830000.0,1667720.0
00810,20190102,0.218,0.218,0.218,0.218,0.218,0.0,0.0
01271,20190123,4.88,4.88,5.0,4.88,4.9,20000.0,98280.0
631 HK,20190128,2.56,2.56,2.6,2.55,2.59,2076000.0,5370620.0
01748,20190118,1.55,1.49,1.5,1.42,1.5,54000.0,78800.0
01862,20190122,2.15,2.11,2.16,2.07,2.11,973000.0,2055210.0
1075 HK,20190102,0.32,0.32,0.335,0.32,0.32,120000.0,38490.0
08479,20190129,0.35,0.35,0.35,0.345,0.35,140000.0,48760.0
01258,20190128,1.95,1.95,1.95,1.95,1.95,0.0,0.0
00142,20190117,3.39,3.42,3.43,3.37,3.39,2923520.0,9944442.0
00600,20190131,0.043,0.048,0.048,0.041,0.044,676000.0,28604.0
02133,20190122,0.086,0.088,0.094,0.081,0.091,725000.0,62960.0
00815,20190116,0.74,0.74,0.75,0.73,0.75,1852000.0,1377240.0
08363,20190121,0.65,0.62,0.68,0.62,0.65,122000.0,78960.0
02198,20190121,1.93,1.94,2.02,1.91,1.94,3898000.0,7580027.0
03996,20190125,0.94,0.94,0.95,0.92,0.94,1106000.0,1042960.0
00570,20190107,4.51,4.57,4.67,4.51,4.59,12152000.0,55754340.0
01508,20190125,1.7,1.69,1.71,1.69,1.71,9371000.0,15958050.0
08066,20190117,0.205,0.204,0.204,0.204,0.204,0.0,0.0
00878,20190114,10.9,10.9,10.9,10.76,10.88,419000.0,4579710.0
00772,20190110,36.25,36.75,38.05,36.1,37.25,1518473.0,56482318.0
916 HK,20190114,5.76,5.79,5.8,5.57,5.61,8929343.0,50209286.0
00812,20190130,0.131,0.131,0.138,0.131,0.136,206000.0,27000.0
00129,20190128,1.44,1.45,1.48,1.44,1.45,694000.0,1008680.0
00213,20190129,1.13,1.13,1.13,1.13,1.13,0.0,0.0
3993 HK,20190111,2.91,2.92,2.93,2.85,2.9,13298693.0,38388151.0
01140,20190104,2.5,2.47,2.5,2.47,2.5,1528000.0,3804080.0
01866,20190103,2.51,2.47,2.56,2.46,2.46,276000.0,695840.0
01238,20190102,3.08,3.11,3.17,3.03,3.1,1553000.0,4785300.0
06878,20190104,0.5,0.5,0.5,0.49,0.5,734000.0,363350.0
809 HK,20190128,0.037,0.035,0.036,0.034,0.036,438686.0,15454.0
08260,20190117,0.5,0.455,0.49,0.45,0.485,60000.0,28150.0
3969 HK,20190128,6.17,6.2,6.22,6.16,6.21,3895978.0,24159967.0
00408,20190129,2.46,2.45,2.5,2.45,2.45,398000.0,981400.0
01733,20190114,0.385,0.385,0.395,0.38,0.39,1636150.0,631434.0
00381,20190116,0.018,0.018,0.018,0.014,0.015,292010000.0,4757290.0
02688,20190107,70.35,70.7,71.0,68.8,69.5,2098094.0,145750821.0
00731,20190104,0.5,0.5,0.5,0.5,0.5,156000.0,77800.0
01410,20190116,1.39,1.46,1.48,1.36,1.45,11770000.0,17009100.0
00373,20190128,46.75,46.2,46.2,46.0,46.3,92000.0,4235000.0
11 HK,20190102,175.8,176.5,176.5,172.3,173.0,1509053.0,260924823.0
01585,20190121,2.89,2.89,2.9,2.86,2.89,1252000.0,3619660.0
2343 HK,20190117,1.59,1.6,1.64,1.59,1.61,20065034.0,32276975.0
00410,20190121,2.98,2.99,2.99,2.95,2.98,4301700.0,12793651.0
956 HK,20190109,2.0,2.0,2.02,1.99,2.0,4115000.0,8261628.0
00696,20190125,20.05,19.96,20.35,19.86,20.35,1626062.0,32949048.0
08270,20190103,0.053,0.038,0.053,0.038,0.053,15000.0,570.0
6030 HK,20190108,13.94,14.14,14.14,13.94,14.0,23170561.0,325183341.0
02892,20190117,1.26,1.26,1.27,1.24,1.25,6094000.0,7668540.0
01985,20190111,1.0,1.01,1.01,1.01,1.01,2000.0,2020.0
08540,20190110,1.25,1.25,1.25,1.25,1.25,0.0,0.0
01596,20190122,5.34,5.34,5.35,5.32,5.35,442000.0,2360210.0
08456,20190130,0.25,0.23,0.245,0.23,0.27,28000.0,6704.0
03689,20190108,6.23,5.92,6.46,5.92,6.4,21600.0,137860.0
01915,20190128,2.64,2.69,2.69,2.63,2.75,12000.0,32020.0
00307,20190109,0.129,0.129,0.129,0.129,0.129,0.0,0.0
00956,20190102,2.02,2.02,2.02,1.93,1.94,2665000.0,5235292.0
03991,20190129,0.68,0.68,0.68,0.68,0.68,0.0,0.0
01585,20190116,2.93,2.92,2.94,2.87,2.9,2860000.0,8334400.0
00162,20190103,0.315,0.315,0.315,0.315,0.315,0.0,0.0
1886 HK,20190130,2.02,2.02,2.02,2.02,2.02,0.0,0.0
03933,20190107,4.22,4.29,4.29,4.17,4.21,692000.0,2924660.0
08231,20190121,0.11,0.098,0.098,0.093,0.093,540000.0,51820.0
6178 HK,20190125,6.99,7.13,7.13,6.98,7.0,716400.0,5030244.0
00588,20190108,2.07,2.05,2.09,2.01,2.02,14915615.0,30301099.0
00041,20190109,33.65,34.1,34.2,33.3,33.5,169765.0,5761260.0
1205 HK,20190121,0.64,0.63,0.65,0.63,0.65,1337200.0,859260.0
01818,20190116,7.8,7.75,7.75,7.31,7.34,16703500.0,125167461.0
01822,20190115,0.075,0.075,0.09,0.074,0.09,1470000.0,114990.0
01120,20190111,1.76,1.75,1.92,1.75,1.88,8000.0,14940.0
08258,20190115,0.182,0.178,0.178,0.178,0.178,0.0,0.0
08532,20190125,0.095,0.095,0.095,0.095,0.095,0.0,0.0
00819,20190117,6.96,7.1,7.17,6.86,6.88,2794000.0,19657170.0
00360,20190108,0.23,0.231,0.231,0.23,0.23,308000.0,70940.0
02099,20190128,8.98,8.98,9.26,8.98,9.14,671500.0,6139036.0
08162,20190104,0.285,0.285,0.285,0.285,0.285,0.0,0.0
00830,20190110,0.73,0.68,0.75,0.68,0.69,600000.0,420740.0
941 HK,20190115,80.05,80.15,82.15,80.05,81.6,24936098.0,2029713324.0
258 HK,20190111,2.28,2.32,2.32,2.26,2.26,390000.0,890060.0
08502,20190116,0.335,0.335,0.34,0.32,0.32,3296000.0,1081120.0
00390,20190102,7.13,7.1,7.17,6.9,7.03,10993139.0,76950877.0
00512,20190115,3.59,3.52,3.69,3.52,3.63,784000.0,2861640.0
02330,20190111,0.17,0.17,0.17,0.17,0.17,0.0,0.0
06036,20190118,0.29,0.29,0.305,0.29,0.295,845000.0,246775.0
00905,20190104,0.19,0.19,0.19,0.19,0.19,0.0,0.0
01269,20190110,3.78,3.86,3.86,3.76,3.79,4202445.0,15898722.0
00803,20190109,0.034,0.035,0.039,0.029,0.031,5140000.0,159660.0
3968 HK,20190104,27.6,27.5,28.4,27.35,28.25,39926496.0,1121154036.0
00129,20190130,1.44,1.44,1.45,1.43,1.44,172000.0,247380.0
00047,20190117,0.164,0.164,0.166,0.164,0.166,36000.0,5936.0
2779 HK,20190124,2.14,2.12,2.12,2.08,2.12,185000.0,387080.0
08186,20190104,0.046,0.049,0.049,0.049,0.046,20000.0,980.0
08509,20190103,0.54,0.5,0.5,0.5,0.5,12000.0,6000.0
1899 HK,20190109,2.23,2.22,2.34,2.22,2.29,1814000.0,4150660.0
1347 HK,20190122,16.08,16.0,16.04,15.46,16.02,5950666.0,94096980.0
00797,20190128,1.37,1.35,1.42,1.35,1.4,1486000.0,2014360.0
01071,20190111,3.55,3.56,3.62,3.54,3.62,5209672.0,18716577.0
363 HK,20190131,16.2,16.3,16.52,16.3,16.48,2107184.0,34677994.0
01165,20190122,0.52,0.52,0.52,0.52,0.52,0.0,0.0
01830,20190114,2.12,2.13,2.18,2.13,2.18,160000.0,343760.0
02329,20190114,2.08,2.08,2.12,2.04,2.08,3686000.0,7682390.0
01210,20190128,0.52,0.52,0.52,0.52,0.52,0.0,0.0
6886 HK,20190130,14.16,14.24,14.26,14.02,14.14,5942632.0,83984727.0
08217,20190124,0.117,0.11,0.117,0.11,0.117,80000.0,9240.0
03389,20190117,0.3,0.305,0.305,0.3,0.3,3912000.0,1175380.0
00408,20190102,2.32,2.26,2.36,2.26,2.36,42000.0,95240.0
02357,20190125,5.2,5.2,5.22,5.12,5.2,10807000.0,55985550.0
08452,20190111,0.88,0.85,0.85,0.85,0.85,2000.0,1700.0
00423,20190107,1.34,1.34,1.34,1.34,1.34,5146000.0,6895640.0
01702,20190123,2.4,2.4,2.4,2.4,2.4,0.0,0.0
01282,20190114,0.435,0.455,0.455,0.43,0.435,80720000.0,35243260.0
08230,20190122,0.248,0.248,0.248,0.248,0.248,0.0,0.0
590 HK,20190114,22.15,22.0,22.35,21.95,22.15,516000.0,11443450.0
3303 HK,20190131,0.8,0.81,0.82,0.8,0.81,282000.0,228260.0
00881,20190124,14.02,14.14,14.42,13.92,14.42,2331500.0,33220700.0
08275,20190128,0.137,0.14,0.145,0.139,0.143,6780000.0,944830.0
848 HK,20190109,0.53,0.54,0.56,0.53,0.55,923000.0,504260.0
00922,20190118,0.285,0.28,0.29,0.275,0.285,670000.0,185200.0
06836,20190115,1.12,1.11,1.18,1.1,1.17,3046000.0,3440860.0
01462,20190108,0.53,0.53,0.59,0.44,0.445,28230005.0,14210762.0
01657,20190130,5.63,5.45,5.46,5.45,5.46,1000.0,5455.0
00361,20190129,0.25,0.249,0.25,0.249,0.25,400000.0,99700.0
00569,20190111,1.05,1.06,1.06,1.06,1.06,1000.0,1060.0
03833,20190118,0.66,0.66,0.68,0.65,0.68,586000.0,391730.0
00236,20190111,1.16,1.16,1.16,1.16,1.16,0.0,0.0
1810 HK,20190103,12.2,12.28,12.32,11.76,11.76,38910146.0,462646120.0
00007,20190118,0.94,0.93,0.95,0.93,0.95,7446000.0,6966920.0
02188,20190125,0.65,0.65,0.66,0.64,0.64,438020.0,286352.0
00339,20190116,0.43,0.43,0.43,0.43,0.43,0.0,0.0
2202 HK,20190125,28.25,29.0,29.8,28.6,29.8,9331899.0,273739768.0
01570,20190110,3.93,3.66,3.66,3.66,3.66,5000.0,18300.0
00265,20190131,0.183,0.185,0.185,0.182,0.182,120000.0,22070.0
00041,20190123,34.3,34.2,34.6,34.0,34.45,141728.0,4861063.0
468 HK,20190124,5.19,5.2,5.2,5.01,5.16,1069000.0,5527614.0
00668,20190115,0.55,0.55,0.55,0.55,0.55,0.0,0.0
1381 HK,20190115,4.09,4.11,4.15,4.06,4.12,1127000.0,4620760.0
00433,20190124,0.032,0.03,0.036,0.03,0.033,196560000.0,6373760.0
3833 HK,20190122,0.67,0.65,0.66,0.65,0.66,138000.0,90010.0
691 HK,20190103,2.04,2.08,2.1,2.02,2.06,294000.0,603490.0
01290,20190104,0.91,0.86,0.94,0.83,0.94,2006000.0,1819440.0
1685 HK,20190110,0.62,0.6,0.65,0.6,0.64,178000.0,112480.0
01939,20190128,1.49,1.49,1.49,1.49,1.49,0.0,0.0
08211,20190110,0.197,0.197,0.197,0.197,0.197,0.0,0.0
569 HK,20190116,1.05,1.03,1.03,1.03,1.03,13000.0,13390.0
02898,20190125,0.38,0.38,0.38,0.38,0.38,0.0,0.0
85 HK,20190109,0.65,0.64,0.66,0.64,0.65,386000.0,251240.0
408 HK,20190117,2.42,2.42,2.42,2.36,2.4,72000.0,170980.0
01164,20190129,0.28,0.28,0.285,0.27,0.285,815000.0,227225.0
08601,20190129,0.47,0.47,0.475,0.47,0.475,160000.0,75350.0
08021,20190128,0.037,0.037,0.038,0.037,0.038,60000.0,2230.0
00542,20190118,0.27,0.27,0.275,0.265,0.275,248000.0,66960.0
00593,20190111,8.42,8.42,8.42,8.42,8.42,0.0,0.0
06928,20190118,1.0,1.0,1.08,0.99,1.07,228000.0,236000.0
00276,20190128,0.121,0.12,0.133,0.12,0.12,85275.0,10280.0
08447,20190110,0.168,0.155,0.168,0.155,0.164,480000.0,77880.0
02020,20190123,37.95,38.0,38.0,37.15,37.85,2313335.0,87355722.0
00417,20190131,1.79,1.79,1.79,1.79,1.79,15000.0,26780.0
02023,20190110,1.3,1.34,1.34,1.34,1.34,16000.0,21440.0
1788 HK,20190104,1.23,1.23,1.27,1.21,1.27,14506091.0,18166534.0
01290,20190103,0.95,0.87,0.91,0.85,0.91,1050000.0,912620.0
01448,20190122,6.14,6.17,6.17,5.97,6.05,3603000.0,21736160.0
00970,20190103,0.45,0.45,0.495,0.45,0.475,27468000.0,13056080.0
08021,20190109,0.04,0.038,0.04,0.038,0.04,650000.0,24740.0
1393 HK,20190110,0.27,0.255,0.265,0.255,0.265,33000.0,8455.0
08609,20190107,0.265,0.27,0.37,0.27,0.355,3660000.0,1194400.0
1999 HK,20190131,3.78,3.78,3.9,3.66,3.69,6278372.0,23307355.0
00647,20190123,0.209,0.209,0.219,0.209,0.21,350000.0,73232.0
01741,20190122,1.87,1.9,1.9,1.8,1.83,48000.0,90080.0
00727,20190125,0.52,0.5,0.5,0.5,0.5,50000.0,25000.0
656 HK,20190122,11.26,11.3,11.32,11.02,11.12,7042091.0,78348000.0
01492,20190110,0.51,0.51,0.56,0.51,0.55,402000.0,205120.0
00104,20190109,0.475,0.485,0.51,0.455,0.48,7415000.0,3620650.0
00756,20190110,0.19,0.186,0.203,0.186,0.193,1468000.0,280584.0
01316,20190128,11.9,12.08,12.18,11.4,11.62,4337000.0,50368300.0
00406,20190109,1.25,1.33,1.38,1.33,1.37,10000.0,13400.0
00059,20190104,1.27,1.27,1.28,1.24,1.26,3122000.0,3953940.0
01568,20190117,4.17,4.2,4.3,3.8,4.11,1388000.0,5577120.0
00151,20190128,6.2,6.25,6.3,6.05,6.13,10554332.0,64740857.0
01591,20190107,0.08,0.081,0.081,0.081,0.081,40000.0,3240.0
136 HK,20190114,0.236,0.236,0.236,0.225,0.228,69714500.0,15965508.0
8049 HK,20190104,0.95,0.95,0.95,0.95,0.95,0.0,0.0
02889,20190102,0.244,0.244,0.244,0.244,0.244,0.0,0.0
732 HK,20190121,0.91,0.92,0.94,0.9,0.92,7636000.0,6993900.0
27 HK,20190104,47.75,47.1,48.6,46.9,48.6,12442372.0,598893496.0
00697,20190109,0.191,0.195,0.195,0.187,0.193,3014000.0,581674.0
00364,20190110,0.091,0.091,0.091,0.091,0.091,0.0,0.0
2039 HK,20190110,7.62,7.64,7.94,7.63,7.84,1081040.0,8456833.0
01037,20190111,0.69,0.66,0.7,0.66,0.7,84000.0,57560.0
03939,20190116,1.74,1.74,1.75,1.73,1.73,1324000.0,2297500.0
08621,20190115,0.405,0.405,0.41,0.38,0.38,2992000.0,1162720.0
00573,20190107,1.3,1.31,1.33,1.3,1.3,45000.0,59080.0
00678,20190122,1.56,1.53,1.56,1.52,1.54,15495000.0,23881240.0
08090,20190103,0.65,0.64,0.64,0.62,0.62,1728000.0,1087280.0
01099,20190116,32.55,32.1,33.15,31.65,32.75,3310358.0,108104664.0
01932,20190131,0.5,0.5,0.5,0.5,0.5,0.0,0.0
00697,20190130,0.211,0.207,0.211,0.207,0.209,2306000.0,483062.0
3332 HK,20190103,0.38,0.37,0.39,0.365,0.37,439000.0,165760.0
3669 HK,20190107,4.36,4.5,4.56,4.19,4.24,3468300.0,14881345.0
3336 HK,20190124,2.01,2.1,2.1,2.0,2.03,736000.0,1490840.0
08071,20190107,0.078,0.066,0.08,0.066,0.079,14000.0,970.0
3998 HK,20190108,1.37,1.39,1.41,1.38,1.4,9693150.0,13563376.0
00207,20190107,0.82,0.83,0.84,0.83,0.84,696000.0,579180.0
00208,20190118,0.75,0.74,0.76,0.73,0.76,631566.0,472036.0
151 HK,20190116,6.27,6.2,6.36,6.2,6.23,10078164.0,63241991.0
01101,20190111,0.142,0.143,0.146,0.138,0.144,568900.0,80117.0
01205,20190129,0.65,0.65,0.66,0.64,0.66,1492000.0,967920.0
00418,20190122,0.385,0.375,0.39,0.375,0.39,22000.0,8400.0
357 HK,20190122,6.78,6.8,6.8,6.67,6.73,156000.0,1055420.0
01168,20190124,0.53,0.53,0.53,0.52,0.53,90000.0,47200.0
12 HK,20190129,43.7,43.7,44.0,43.3,43.95,3337611.0,145807549.0
00200,20190102,15.96,16.0,16.04,15.16,15.26,3141000.0,48895970.0
01335,20190109,0.205,0.205,0.205,0.205,0.205,0.0,0.0
00685,20190104,0.36,0.355,0.37,0.355,0.37,3000.0,1095.0
3331 HK,20190115,13.32,13.28,13.5,13.26,13.48,57000.0,756340.0
01783,20190103,0.26,0.26,0.265,0.255,0.265,320000.0,83450.0
08245,20190131,0.039,0.039,0.039,0.039,0.039,1995000.0,77810.0
1456 HK,20190111,1.88,1.84,1.87,1.82,1.82,77500.0,142075.0
08527,20190124,2.15,2.16,2.16,2.16,2.16,0.0,0.0
00244,20190107,0.146,0.145,0.159,0.145,0.157,92000.0,13366.0
01071,20190110,3.58,3.59,3.59,3.51,3.55,5887870.0,20913072.0
00864,20190124,0.79,0.79,0.79,0.79,0.79,0.0,0.0
3993 HK,20190123,2.9,2.88,2.9,2.85,2.89,15491165.0,44638690.0
00567,20190131,0.25,0.242,0.265,0.241,0.265,106000.0,25742.0
1619 HK,20190130,1.17,1.17,1.17,1.17,1.17,0.0,0.0
00720,20190111,0.081,0.077,0.08,0.077,0.08,2325000.0,182125.0
02320,20190104,0.43,0.435,0.435,0.435,0.435,152000.0,66120.0
00358,20190128,9.4,9.5,9.52,9.35,9.46,2986965.0,28252819.0
06178,20190111,6.97,7.09,7.13,6.92,7.06,52000.0,367804.0
03332,20190116,0.375,0.38,0.395,0.375,0.375,44000.0,16880.0
01010,20190131,2.18,2.18,2.18,2.18,2.18,0.0,0.0
02858,20190131,1.99,2.0,2.05,1.99,1.99,2208500.0,4452140.0
01448,20190109,5.81,5.88,5.89,5.66,5.78,5301000.0,30643001.0
00883,20190103,11.32,11.56,11.7,11.34,11.48,61289951.0,703604066.0
01766,20190124,7.76,7.77,7.83,7.55,7.68,46900403.0,358962550.0
814 HK,20190124,1.6,1.56,1.6,1.53,1.6,26212.0,41668.0
02078,20190131,0.68,0.68,0.68,0.68,0.68,17000.0,11560.0
01120,20190128,1.87,1.85,1.88,1.85,1.88,552000.0,1026200.0
402 HK,20190103,0.03,0.03,0.03,0.03,0.03,0.0,0.0
02088,20190110,0.255,0.255,0.26,0.255,0.25,118000.0,30100.0
123 HK,20190108,1.44,1.46,1.46,1.43,1.45,7083382.0,10221807.0
00114,20190130,0.68,0.68,0.68,0.68,0.68,0.0,0.0
00919,20190124,0.185,0.18,0.184,0.179,0.184,60000.0,10808.0
01396,20190111,0.495,0.49,0.495,0.49,0.49,108000.0,53080.0
00603,20190131,0.52,0.52,0.53,0.52,0.53,1934140.0,1018948.0
02366,20190104,0.111,0.11,0.131,0.11,0.125,6025000.0,738055.0
00709,20190114,3.74,3.72,3.74,3.68,3.68,1961900.0,7247643.0
00832,20190125,3.39,3.39,3.39,3.21,3.38,409000.0,1380160.0
01281,20190109,1.71,1.7,1.73,1.7,1.72,14000.0,23910.0
3396 HK,20190109,21.0,21.45,21.55,20.7,21.5,608196.0,13021803.0
00601,20190118,0.29,0.3,0.3,0.255,0.285,6746000.0,1933920.0
3399 HK,20190103,3.0,2.99,3.01,2.97,2.97,374000.0,1117160.0
00663,20190103,0.13,0.113,0.13,0.113,0.13,407000.0,48270.0
02299,20190129,10.2,10.2,10.2,10.18,10.2,20000.0,203760.0
03669,20190110,4.31,4.3,4.48,4.3,4.47,3195500.0,14075615.0
00799,20190128,12.18,12.3,12.36,11.96,12.06,4021244.0,48661818.0
08120,20190110,0.044,0.043,0.044,0.042,0.043,1624500.0,68402.0
00570,20190103,4.45,4.4,4.52,4.29,4.34,7682000.0,33555610.0
01180,20190122,0.9,0.9,0.9,0.9,0.9,88000.0,79200.0
03332,20190103,0.38,0.37,0.39,0.365,0.37,439000.0,165760.0
00026,20190103,95.2,95.0,95.0,94.05,94.05,1200.0,113810.0
00599,20190111,0.52,0.52,0.52,0.52,0.52,0.0,0.0
08523,20190125,0.395,0.395,0.395,0.395,0.395,0.0,0.0
01720,20190128,2.66,2.69,2.71,2.61,2.69,740000.0,1988520.0
08299,20190117,0.01,0.011,0.011,0.01,0.011,1064000.0,10696.0
01202,20190114,0.81,0.79,0.82,0.78,0.82,104000.0,81400.0
01058,20190103,0.52,0.52,0.52,0.52,0.52,0.0,0.0
01176,20190111,1.23,1.24,1.29,1.2,1.25,3630000.0,4489640.0
6030 HK,20190121,15.44,15.42,15.68,15.02,15.3,21891670.0,333821393.0
00062,20190104,21.5,21.5,21.6,21.4,21.6,98000.0,2109260.0
00711,20190122,0.67,0.66,0.67,0.66,0.67,258000.0,170540.0
173 HK,20190104,3.7,3.73,3.81,3.66,3.78,2040404.0,7682809.0
08403,20190108,0.048,0.048,0.048,0.048,0.048,260000.0,12480.0
01443,20190131,0.48,0.49,0.49,0.49,0.49,40000.0,19600.0
02336,20190130,0.37,0.375,0.375,0.375,0.375,0.0,0.0
00265,20190116,0.175,0.175,0.175,0.175,0.175,0.0,0.0
425 HK,20190123,26.5,26.6,27.15,25.9,26.65,1719000.0,45812300.0
01886,20190124,2.02,2.02,2.02,2.02,2.02,0.0,0.0
08247,20190122,1.54,1.54,1.54,1.54,1.54,0.0,0.0
02223,20190129,0.8,0.78,0.84,0.78,0.82,8000.0,6360.0
01800,20190110,7.68,7.73,7.77,7.61,7.69,13306233.0,102476129.0
02258,20190104,1.18,1.19,1.19,1.13,1.17,64000.0,74500.0
00082,20190128,0.248,0.245,0.249,0.239,0.244,2629800.0,642016.0
08357,20190103,0.71,0.71,0.71,0.69,0.7,795000.0,558800.0
00592,20190109,0.295,0.295,0.295,0.295,0.295,308000.0,90860.0
00987,20190121,0.21,0.208,0.213,0.208,0.213,89719.0,18645.0
01277,20190107,0.455,0.445,0.46,0.44,0.46,724000.0,322200.0
00818,20190122,1.13,1.13,1.13,1.09,1.1,4660890.0,5169670.0
3389 HK,20190131,0.325,0.325,0.34,0.315,0.34,4870000.0,1617890.0
00358,20190129,9.46,9.36,9.48,9.18,9.47,2565487.0,24083204.0
08088,20190116,0.113,0.106,0.106,0.106,0.106,10500.0,1098.0
00295,20190110,0.11,0.11,0.11,0.11,0.11,0.0,0.0
3988 HK,20190115,3.38,3.4,3.45,3.39,3.43,422295840.0,1445149602.0
08368,20190121,0.122,0.122,0.122,0.122,0.122,0.0,0.0
00320,20190107,0.81,0.81,0.84,0.81,0.81,88000.0,71540.0
01222,20190110,0.095,0.095,0.095,0.094,0.095,94370383.0,8963204.0
02341,20190102,1.58,1.58,1.58,1.57,1.58,56000.0,88060.0
08391,20190123,0.215,0.215,0.215,0.204,0.204,720000.0,150068.0
47 HK,20190108,0.159,0.159,0.16,0.157,0.157,244000.0,38928.0
01778,20190123,4.13,4.18,4.18,4.01,4.06,2911000.0,11809950.0
08009,20190131,0.99,1.0,1.0,1.0,1.0,10000.0,10000.0
01052,20190125,6.08,6.1,6.15,5.95,6.1,2794000.0,17017773.0
01207,20190122,0.124,0.124,0.125,0.119,0.123,1496857.0,182940.0
06908,20190128,0.73,0.73,0.73,0.73,0.73,0.0,0.0
11 HK,20190117,175.5,174.3,176.8,173.9,175.1,1295907.0,227572118.0
00112,20190114,6.35,6.4,6.49,6.34,6.39,32000.0,204300.0
00036,20190122,0.375,0.375,0.375,0.375,0.375,0.0,0.0
2202 HK,20190104,26.05,26.1,27.45,25.85,27.4,7097306.0,191554503.0
01456,20190123,1.87,1.85,1.85,1.85,1.85,0.0,0.0
00169,20190104,0.59,0.58,0.59,0.57,0.58,280000.0,160210.0
2868 HK,20190109,2.83,2.86,2.89,2.84,2.87,1258000.0,3603810.0
00641,20190121,0.95,0.95,0.95,0.95,0.95,4000.0,3800.0
