基金代码,基金全称,基金简称,管理人,托管人,基金类型,成立日期,到期日期,管理费率,托管费率
005302,前海开源弘泽债券型发起式证券投资基金C类,前海开源弘泽债券C,前海开源基金管理有限公司,上海浦东发展银行股份有限公司,债券型,20200901,30001231,0.6%,0.1%
005305,长信合利混合型证券投资基金A类,长信合利混合A,长信基金管理有限责任公司,中国工商银行股份有限公司,混合型,20190611,20230803,1%,0.2%
005306,长信合利混合型证券投资基金C类,长信合利混合C,长信基金管理有限责任公司,中国工商银行股份有限公司,混合型,20190611,20230803,1%,0.2%
005307,财通资管鸿达纯债债券型证券投资基金A类,财通资管鸿达纯债债券A,财通证券资产管理有限公司,宁波银行股份有限公司,债券型,20190103,30001231,0.4%,0.07%
005308,财通资管鸿达纯债债券型证券投资基金C类,财通资管鸿达纯债债券C,财通证券资产管理有限公司,宁波银行股份有限公司,债券型,20190103,30001231,0.4%,0.07%
005347,诺德量化优选6个月持有期混合型证券投资基金,诺德量化优选6个月持有期混合,诺德基金管理有限公司,中国光大银行股份有限公司,混合型,20200827,30001231,1.2%,0.2%
005350,诺德短债债券型证券投资基金A类,诺德短债债券A,诺德基金管理有限公司,招商证券股份有限公司,债券型,20190125,30001231,0.3%,0.05%
005368,富国清洁能源产业灵活配置混合型证券投资基金A类,富国清洁能源产业灵活配置混合A,富国基金管理有限公司,招商银行股份有限公司,混合型,20200306,30001231,1.2%,0.2%
005393,南方卓利3个月定期开放债券型发起式证券投资基金,南方卓利3个月定期开放债券,南方基金管理股份有限公司,中国光大银行股份有限公司,债券型,20191120,30001231,0.3%,0.1%
005394,南方卓利3个月定期开放债券型发起式证券投资基金C类,南方卓利3个月定期开放债券C,南方基金管理股份有限公司,中国光大银行股份有限公司,债券型,20191120,20220114,0.3%,0.1%
005412,金信民长灵活配置混合型证券投资基金A类,金信民长灵活配置混合A,金信基金管理有限公司,中信建投证券股份有限公司,混合型,20200521,30001231,1%,0.1%
005413,金信民长灵活配置混合型证券投资基金C类,金信民长灵活配置混合C,金信基金管理有限公司,中信建投证券股份有限公司,混合型,20200521,30001231,1%,0.1%
005425,民生加银睿通3个月定期开放债券型发起式证券投资基金,民生加银睿通3个月定期开放债券,民生加银基金管理有限公司,交通银行股份有限公司,债券型,20190130,30001231,0.3%,0.1%
005426,光大保德信尊丰纯债定期开放债券型发起式证券投资基金,光大保德信尊丰纯债定期开放债券,光大保德信基金管理有限公司,中国光大银行股份有限公司,债券型,20190801,30001231,0.4%,0.1%
005432,上银聚鸿益三个月定期开放债券型发起式证券投资基金,上银聚鸿益三个月定期开放债券,上银基金管理有限公司,兴业银行股份有限公司,债券型,20190902,30001231,0.3%,0.1%
005433,申万菱信医药先锋股票型证券投资基金A类,申万菱信医药先锋股票A,申万菱信基金管理有限公司,中国农业银行股份有限公司,股票型,20201116,30001231,1.2%,0.2%
005465,华泰紫金智惠定期开放债券型证券投资基金A类,华泰紫金智惠定期开放债券A,华泰证券(上海)资产管理有限公司,中国建设银行股份有限公司,债券型,20190415,30001231,0.3%,0.1%
005466,华泰紫金智惠定期开放债券型证券投资基金C类,华泰紫金智惠定期开放债券C,华泰证券(上海)资产管理有限公司,中国建设银行股份有限公司,债券型,20190415,30001231,0.3%,0.1%
005491,兴全合宜灵活配置混合型证券投资基金(LOF)C类,兴全合宜灵活配置混合(LOF)C,兴证全球基金管理有限公司,招商银行股份有限公司,混合型,20200213,30001231,1.2%,0.2%
005497,鑫元永利债券型证券投资基金,鑫元永利债券,鑫元基金管理有限公司,江苏银行股份有限公司,债券型,20190509,30001231,0.3%,0.1%
005503,汇添富理财60天债券型证券投资基金E类,汇添富理财60天债券型E,汇添富基金管理股份有限公司,中国建设银行股份有限公司,债券型,20190418,30001231,0.27%,0.08%
005505,前海开源中药研究精选股票型发起式证券投资基金A类,前海开源中药研究精选股票A,前海开源基金管理有限公司,平安银行股份有限公司,股票型,20191210,30001231,1.2%,0.2%
005506,前海开源中药研究精选股票型发起式证券投资基金C类,前海开源中药研究精选股票C,前海开源基金管理有限公司,平安银行股份有限公司,股票型,20191210,30001231,1.2%,0.2%
005513,南华瑞恒中短债债券型证券投资基金A类,南华瑞恒中短债债券A,南华基金管理有限公司,中国银行股份有限公司,债券型,20190129,30001231,0.3%,0.1%
005514,南华瑞恒中短债债券型证券投资基金C类,南华瑞恒中短债债券C,南华基金管理有限公司,中国银行股份有限公司,债券型,20190129,30001231,0.3%,0.1%
005530,汇添富沪深300指数增强型证券投资基金A类,汇添富沪深300指数增强A,汇添富基金管理股份有限公司,中国建设银行股份有限公司,股票型,20201103,30001231,0.8%,0.2%
005601,汇安中短债债券型证券投资基金A类,汇安中短债债券A,汇安基金管理有限责任公司,中国农业银行股份有限公司,债券型,20190917,30001231,0.3%,0.1%
005602,汇安中短债债券型证券投资基金C类,汇安中短债债券C,汇安基金管理有限责任公司,中国农业银行股份有限公司,债券型,20190917,30001231,0.3%,0.1%
005634,汇安行业龙头混合型证券投资基金,汇安行业龙头混合,汇安基金管理有限责任公司,招商银行股份有限公司,混合型,20190828,30001231,1.2%,0.2%
005680,财通资管价值成长混合型证券投资基金A类,财通资管价值成长混合A,财通证券资产管理有限公司,中国工商银行股份有限公司,混合型,20190325,30001231,1.2%,0.2%
005718,长信富瑞两年定期开放债券型证券投资基金A类,长信富瑞两年定期开放债券A,长信基金管理有限责任公司,招商银行股份有限公司,债券型,20190904,30001231,0.15%,0.05%
005761,招商MSCI中国A股国际通交易型开放式指数证券投资基金联接基金A类,招商MSCI中国A股国际通ETF联接A,招商基金管理有限公司,中国银行股份有限公司,股票型,20201123,30001231,0.5%,0.1%
005762,招商MSCI中国A股国际通交易型开放式指数证券投资基金联接基金C类,招商MSCI中国A股国际通ETF联接C,招商基金管理有限公司,中国银行股份有限公司,股票型,20201123,30001231,0.5%,0.1%
005816,国泰农惠定期开放债券型证券投资基金,国泰农惠定期开放债券,国泰基金管理有限公司,中国农业银行股份有限公司,债券型,20190320,30001231,0.4%,0.2%
005831,鹏华尊悦3个月定期开放债券型发起式证券投资基金,鹏华尊悦3个月定期开放债券,鹏华基金管理有限公司,兴业银行股份有限公司,债券型,20191017,30001231,0.3%,0.1%
005836,创金合信泰盈双季红6个月定期开放债券型证券投资基金A类,创金合信泰盈双季红6个月定期开放债券A,创金合信基金管理有限公司,宁波银行股份有限公司,债券型,20191016,30001231,0.4%,0.1%
005837,创金合信泰盈双季红6个月定期开放债券型证券投资基金C类,创金合信泰盈双季红6个月定期开放债券C,创金合信基金管理有限公司,宁波银行股份有限公司,债券型,20191016,30001231,0.4%,0.1%
005838,创金合信中债1-3年政策性金融债指数证券投资基金A类,创金合信中债1-3年政策性金融债指数A,创金合信基金管理有限公司,招商银行股份有限公司,债券型,20200521,30001231,0.15%,0.05%
005839,创金合信中债1-3年政策性金融债指数证券投资基金C类,创金合信中债1-3年政策性金融债指数C,创金合信基金管理有限公司,招商银行股份有限公司,债券型,20200521,30001231,0.15%,0.05%
005843,金元顺安沣泉债券型证券投资基金A类,金元顺安沣泉债券A,金元顺安基金管理有限公司,招商银行股份有限公司,债券型,20190610,30001231,0.3%,0.1%
005850,财通沪深300指数增强型证券投资基金,财通沪深300指数增强,财通基金管理有限公司,中国光大银行股份有限公司,股票型,20190130,30001231,1.2%,0.2%
005855,中科沃土沃瑞灵活配置混合型发起式证券投资基金A类,中科沃土沃瑞灵活配置混合A,中科沃土基金管理有限公司,交通银行股份有限公司,混合型,20190114,30001231,1.2%,0.2%
005856,中科沃土沃瑞灵活配置混合型发起式证券投资基金C类,中科沃土沃瑞灵活配置混合C,中科沃土基金管理有限公司,交通银行股份有限公司,混合型,20190114,30001231,1.2%,0.2%
005882,财通资管鸿达纯债债券型证券投资基金E类,财通资管鸿达纯债债券E,财通证券资产管理有限公司,宁波银行股份有限公司,债券型,20190103,30001231,0.4%,0.07%
005890,先锋博盈纯债债券型证券投资基金A类,先锋博盈纯债债券A,先锋基金管理有限公司,交通银行股份有限公司,债券型,20190814,30001231,0.7%,0.1%
005891,先锋博盈纯债债券型证券投资基金C类,先锋博盈纯债债券C,先锋基金管理有限公司,交通银行股份有限公司,债券型,20190814,30001231,0.7%,0.1%
005914,景顺长城智能生活混合型证券投资基金,景顺长城智能生活混合,景顺长城基金管理有限公司,中国农业银行股份有限公司,混合型,20190131,30001231,1.2%,0.2%
005918,天弘沪深300交易型开放式指数证券投资基金联接基金C类,天弘沪深300ETF联接C,天弘基金管理有限公司,招商证券股份有限公司,股票型,20191209,30001231,0.5%,0.1%
005919,天弘中证500交易型开放式指数证券投资基金联接基金C类,天弘中证500ETF联接C,天弘基金管理有限公司,国泰君安证券股份有限公司,股票型,20200808,30001231,0.5%,0.1%
005925,建信福泽裕泰混合型基金中基金(FOF)A类,建信福泽裕泰混合(FOF)A,建信基金管理有限责任公司,中信银行股份有限公司,混合型,20190605,30001231,1.2%,0.1%
005926,建信福泽裕泰混合型基金中基金(FOF)C类,建信福泽裕泰混合(FOF)C,建信基金管理有限责任公司,中信银行股份有限公司,混合型,20190605,30001231,1.2%,0.1%
005970,国泰消费优选股票型证券投资基金,国泰消费优选股票,国泰基金管理有限公司,中国银行股份有限公司,股票型,20190117,30001231,1.2%,0.2%
005979,南方合顺多资产配置混合型基金中基金(FOF)A类,南方合顺多资产配置混合(FOF)A,南方基金管理股份有限公司,中国建设银行股份有限公司,混合型,20190117,30001231,1%,0.2%
005980,南方合顺多资产配置混合型基金中基金(FOF)C类,南方合顺多资产配置混合(FOF)C,南方基金管理股份有限公司,中国建设银行股份有限公司,混合型,20190117,30001231,1%,0.2%
005984,兴业聚华混合型证券投资基金A类,兴业聚华混合A,兴业基金管理有限公司,招商银行股份有限公司,混合型,20200320,30001231,1%,0.2%
005985,兴业聚华混合型证券投资基金C类,兴业聚华混合C,兴业基金管理有限公司,招商银行股份有限公司,混合型,20200320,30001231,1%,0.2%
005988,兴业纯债6个月定期开放债券型证券投资基金A类,兴业纯债6个月定期开放债券A,兴业基金管理有限公司,中国民生银行股份有限公司,债券型,20200219,30001231,0.3%,0.1%
005989,兴业纯债6个月定期开放债券型证券投资基金C类,兴业纯债6个月定期开放债券C,兴业基金管理有限公司,中国民生银行股份有限公司,债券型,20200219,30001231,0.3%,0.1%
005991,长信利丰债券型证券投资基金A类,长信利丰债券A,长信基金管理有限责任公司,中国农业银行股份有限公司,债券型,20191119,30001231,0.7%,0.2%
006005,诺安鼎利混合型证券投资基金A类,诺安鼎利混合A,诺安基金管理有限公司,中国工商银行股份有限公司,混合型,20190328,30001231,1%,0.2%
006006,诺安鼎利混合型证券投资基金C类,诺安鼎利混合C,诺安基金管理有限公司,中国工商银行股份有限公司,混合型,20190328,30001231,1%,0.2%
006013,易方达鑫转招利混合型证券投资基金A类,易方达鑫转招利混合A,易方达基金管理有限公司,招商银行股份有限公司,混合型,20190129,30001231,0.9%,0.2%
006014,易方达鑫转招利混合型证券投资基金C类,易方达鑫转招利混合C,易方达基金管理有限公司,招商银行股份有限公司,混合型,20190129,30001231,0.9%,0.2%
006023,宝盈聚丰两年定期开放债券型证券投资基金A类,宝盈聚丰两年定期开放债券A,宝盈基金管理有限公司,招商银行股份有限公司,债券型,20190927,30001231,0.15%,0.05%
006024,宝盈聚丰两年定期开放债券型证券投资基金C类,宝盈聚丰两年定期开放债券C,宝盈基金管理有限公司,招商银行股份有限公司,债券型,20190927,30001231,0.15%,0.05%
006032,创金合信汇泽纯债三个月定期开放债券型证券投资基金A类,创金合信汇泽纯债三个月定期开放债券A,创金合信基金管理有限公司,中国银行股份有限公司,债券型,20190912,30001231,0.3%,0.1%
006045,长城久瑞三个月定期开放债券型发起式证券投资基金,长城久瑞三个月定期开放债券,长城基金管理有限公司,中国光大银行股份有限公司,债券型,20190828,30001231,0.3%,0.1%
006051,鹏扬核心价值灵活配置混合型证券投资基金A类,鹏扬核心价值灵活配置混合A,鹏扬基金管理有限公司,招商银行股份有限公司,混合型,20190129,30001231,1.2%,0.2%
006052,鹏扬核心价值灵活配置混合型证券投资基金C类,鹏扬核心价值灵活配置混合C,鹏扬基金管理有限公司,招商银行股份有限公司,混合型,20190129,30001231,1.2%,0.2%
006097,平安高等级债债券型证券投资基金A类,平安高等级债债券A,平安基金管理有限公司,中国银行股份有限公司,债券型,20190529,30001231,0.3%,0.1%
006105,宏利印度机会股票型证券投资基金(QDII),宏利印度机会股票(QDII),宏利基金管理有限公司,中国农业银行股份有限公司,其他型,20190130,30001231,1.8%,0.3%
006106,景顺长城量化港股通股票型证券投资基金A类,景顺长城量化港股通股票A,景顺长城基金管理有限公司,中国工商银行股份有限公司,股票型,20190619,30001231,1.2%,0.2%
006121,华安双核驱动混合型证券投资基金A类,华安双核驱动混合A,华安基金管理有限公司,中国银行股份有限公司,混合型,20190308,30001231,1.2%,0.2%
006122,华安低碳生活混合型证券投资基金A类,华安低碳生活混合A,华安基金管理有限公司,中国建设银行股份有限公司,混合型,20190312,30001231,1.2%,0.2%
006123,国联高股息精选混合型证券投资基金A类,国联高股息精选混合A,国联基金管理有限公司,中国工商银行股份有限公司,混合型,20190926,30001231,1.2%,0.2%
006124,国联高股息精选混合型证券投资基金C类,国联高股息精选混合C,国联基金管理有限公司,中国工商银行股份有限公司,混合型,20190926,30001231,1.2%,0.2%
006129,华安中证500行业中性低波动交易型开放式指数证券投资基金联接基金A类,华安中证500行业中性低波动ETF联接A,华安基金管理有限公司,中国建设银行股份有限公司,股票型,20190115,20221203,0.5%,0.1%
006130,华安中证500行业中性低波动交易型开放式指数证券投资基金联接基金C类,华安中证500行业中性低波动ETF联接C,华安基金管理有限公司,中国建设银行股份有限公司,股票型,20190115,20221203,0.5%,0.1%
006143,恒生前海中证质量成长低波动指数证券投资基金A类,恒生前海中证质量成长低波动指数A,恒生前海基金管理有限公司,中国建设银行股份有限公司,股票型,20190605,20221124,0.6%,0.15%
006144,恒生前海中证质量成长低波动指数证券投资基金C类,恒生前海中证质量成长低波动指数C,恒生前海基金管理有限公司,中国建设银行股份有限公司,股票型,20190605,20221124,0.6%,0.15%
006147,宝盈融源可转债债券型证券投资基金A类,宝盈融源可转债债券A,宝盈基金管理有限公司,中国银行股份有限公司,债券型,20190904,30001231,0.7%,0.2%
006148,宝盈融源可转债债券型证券投资基金C类,宝盈融源可转债债券C,宝盈基金管理有限公司,中国银行股份有限公司,债券型,20190904,30001231,0.7%,0.2%
006152,国联安增鑫纯债债券型证券投资基金A类,国联安增鑫纯债债券A,国联安基金管理有限公司,交通银行股份有限公司,债券型,20190103,30001231,0.3%,0.1%
006153,国联安增鑫纯债债券型证券投资基金C类,国联安增鑫纯债债券C,国联安基金管理有限公司,交通银行股份有限公司,债券型,20190103,30001231,0.3%,0.1%
006167,德邦乐享生活混合型证券投资基金A类,德邦乐享生活混合A,德邦基金管理有限公司,交通银行股份有限公司,混合型,20190313,30001231,1.2%,0.2%
006168,德邦乐享生活混合型证券投资基金C类,德邦乐享生活混合C,德邦基金管理有限公司,交通银行股份有限公司,混合型,20190313,30001231,1.2%,0.2%
006179,富国品质生活混合型证券投资基金A类,富国品质生活混合A,富国基金管理有限公司,中国工商银行股份有限公司,混合型,20190320,30001231,1.2%,0.2%
006198,长盛龙头双核驱动混合型证券投资基金,长盛龙头双核驱动混合,长盛基金管理有限公司,中国银行股份有限公司,混合型,20191104,20220319,1.5%,0.25%
006199,长盛同锦研究精选混合型证券投资基金,长盛同锦研究精选混合,长盛基金管理有限公司,中国工商银行股份有限公司,混合型,20190328,20220609,1.5%,0.25%
006202,交银施罗德核心资产混合型证券投资基金,交银施罗德核心资产混合,交银施罗德基金管理有限公司,中国农业银行股份有限公司,混合型,20190118,30001231,1.2%,0.2%
006207,泰康裕泰债券型证券投资基金A类,泰康裕泰债券A,泰康基金管理有限公司,招商银行股份有限公司,债券型,20190314,30001231,0.6%,0.1%
006208,泰康裕泰债券型证券投资基金C类,泰康裕泰债券C,泰康基金管理有限公司,招商银行股份有限公司,债券型,20190314,30001231,0.6%,0.1%
006218,富国生物医药科技混合型证券投资基金A类,富国生物医药科技混合A,富国基金管理有限公司,中国建设银行股份有限公司,混合型,20190312,30001231,1.2%,0.2%
006227,华宝科技先锋混合型证券投资基金A类,华宝科技先锋混合A,华宝基金管理有限公司,中国银行股份有限公司,混合型,20190213,30001231,1.2%,0.2%
006228,中欧医疗创新股票型证券投资基金A类,中欧医疗创新股票A,中欧基金管理有限公司,中国工商银行股份有限公司,股票型,20190228,30001231,1.2%,0.2%
006229,中欧医疗创新股票型证券投资基金C类,中欧医疗创新股票C,中欧基金管理有限公司,中国工商银行股份有限公司,股票型,20190228,30001231,1.2%,0.2%
006233,万家汽车新趋势混合型证券投资基金A类,万家汽车新趋势混合A,万家基金管理有限公司,中国工商银行股份有限公司,混合型,20191023,30001231,1.2%,0.2%
006234,万家汽车新趋势混合型证券投资基金C类,万家汽车新趋势混合C,万家基金管理有限公司,中国工商银行股份有限公司,混合型,20191023,30001231,1.2%,0.2%
006235,东方城镇消费主题混合型证券投资基金,东方城镇消费主题混合,东方基金管理股份有限公司,中国建设银行股份有限公司,混合型,20190527,30001231,1.2%,0.2%
006242,宝盈盈润纯债债券型证券投资基金,宝盈盈润纯债债券,宝盈基金管理有限公司,中国光大银行股份有限公司,债券型,20190816,30001231,0.3%,0.1%
006245,嘉实养老目标日期2030三年持有期混合型基金中基金(FOF)A类,嘉实养老目标日期2030三年持有期混合(FOF)A,嘉实基金管理有限公司,中国农业银行股份有限公司,混合型,20190805,30001231,0.8%,0.15%
006250,摩根动力精选混合型证券投资基金A类,摩根动力精选混合A,摩根基金管理(中国)有限公司,中国银行股份有限公司,混合型,20190129,30001231,1.5%,0.25%
006251,银华兴盛股票型证券投资基金,银华兴盛股票,银华基金管理股份有限公司,中国民生银行股份有限公司,股票型,20190801,30001231,1.2%,0.2%
006254,长城久悦债券型证券投资基金A类,长城久悦债券A,长城基金管理有限公司,中国银行股份有限公司,债券型,20190212,30001231,0.7%,0.2%
006257,信澳先进智造股票型证券投资基金,信澳先进智造股票,信达澳亚基金管理有限公司,中国建设银行股份有限公司,股票型,20190117,30001231,1.5%,0.25%
006259,汇添富红利增长混合型证券投资基金A类,汇添富红利增长混合A,汇添富基金管理股份有限公司,中国工商银行股份有限公司,混合型,20190426,30001231,1.2%,0.2%
006260,汇添富红利增长混合型证券投资基金C类,汇添富红利增长混合C,汇添富基金管理股份有限公司,中国工商银行股份有限公司,混合型,20190426,30001231,1.2%,0.2%
006266,永赢智能领先混合型证券投资基金A类,永赢智能领先混合A,永赢基金管理有限公司,交通银行股份有限公司,混合型,20190326,30001231,1.2%,0.2%
006269,永赢智能领先混合型证券投资基金C类,永赢智能领先混合C,永赢基金管理有限公司,交通银行股份有限公司,混合型,20190326,30001231,1.2%,0.2%
006270,汇安核心成长混合型证券投资基金A类,汇安核心成长混合A,汇安基金管理有限责任公司,中国银行股份有限公司,混合型,20190125,30001231,1.2%,0.2%
006271,汇安核心成长混合型证券投资基金C类,汇安核心成长混合C,汇安基金管理有限责任公司,中国银行股份有限公司,混合型,20190125,30001231,1.2%,0.2%
006281,万家人工智能混合型证券投资基金A类,万家人工智能混合A,万家基金管理有限公司,中国建设银行股份有限公司,混合型,20190125,30001231,1.2%,0.2%
006284,浙商兴永纯债三个月定期开放债券型发起式证券投资基金,浙商兴永纯债三个月定期开放债券,浙商基金管理有限公司,兴业银行股份有限公司,债券型,20190424,30001231,0.3%,0.1%
006285,鹏华全球中短债债券型证券投资基金(QDII)(美元现汇)A类,鹏华全球中短债债券(QDII)(美元现汇)A,鹏华基金管理有限公司,中国建设银行股份有限公司,其他型,20200108,30001231,0.9%,0.2%
006307,嘉实养老目标日期2040五年持有期混合型发起式基金中基金(FOF)A类,嘉实养老目标日期2040五年持有期混合(FOF)A,嘉实基金管理有限公司,中国银行股份有限公司,混合型,20190306,30001231,0.8%,0.15%
006314,国联策略优选混合型证券投资基金A类,国联策略优选混合A,国联基金管理有限公司,中国银行股份有限公司,混合型,20190508,30001231,1.2%,0.2%
006315,国联策略优选混合型证券投资基金C类,国联策略优选混合C,国联基金管理有限公司,中国银行股份有限公司,混合型,20190508,30001231,1.2%,0.2%
006316,平安惠诚纯债债券型证券投资基金,平安惠诚纯债债券,平安基金管理有限公司,浙商银行股份有限公司,债券型,20190131,30001231,0.3%,0.1%
006327,易方达中证海外中国互联网50交易型开放式指数证券投资基金联接基金A类,易方达中证海外中国互联网50ETF联接(QDII)A,易方达基金管理有限公司,招商银行股份有限公司,其他型,20190118,30001231,0.6%,0.25%
006328,易方达中证海外中国互联网50交易型开放式指数证券投资基金联接基金C类,易方达中证海外中国互联网50ETF联接(QDII)C,易方达基金管理有限公司,招商银行股份有限公司,其他型,20190118,30001231,0.6%,0.25%
006329,易方达中证海外中国互联网50交易型开放式指数证券投资基金联接基金(美元现汇)A类,易方达中证海外中国互联网50ETF联接(QDII)(美元现汇)A,易方达基金管理有限公司,招商银行股份有限公司,其他型,20190118,30001231,0.6%,0.25%
006330,易方达中证海外中国互联网50交易型开放式指数证券投资基金联接基金(美元现汇)C类,易方达中证海外中国互联网50ETF联接(QDII)(美元现汇)C,易方达基金管理有限公司,招商银行股份有限公司,其他型,20190118,30001231,0.6%,0.25%
006336,泓德量化精选混合型证券投资基金,泓德量化精选混合,泓德基金管理有限公司,中国工商银行股份有限公司,混合型,20190906,30001231,1.2%,0.2%
006339,银华MSCI中国A股交易型开放式指数证券投资基金发起式联接基金A类,银华MSCI中国A股ETF联接A,银华基金管理股份有限公司,中国工商银行股份有限公司,股票型,20190605,20220617,0.5%,0.1%
006345,景顺长城集英成长两年定期开放混合型证券投资基金,景顺长城集英成长两年定期开放混合,景顺长城基金管理有限公司,中国工商银行股份有限公司,混合型,20190416,30001231,1.2%,0.2%
006349,中金MSCI中国A股国际价值指数发起式证券投资基金A类,中金MSCI中国A股国际价值指数A,中金基金管理有限公司,招商银行股份有限公司,股票型,20190125,20220126,0.7%,0.15%
006350,中金MSCI中国A股国际价值指数发起式证券投资基金C类,中金MSCI中国A股国际价值指数C,中金基金管理有限公司,招商银行股份有限公司,股票型,20190125,20220126,0.7%,0.15%
006351,中金MSCI中国A股国际红利指数发起式证券投资基金A类,中金MSCI中国A股国际红利指数A,中金基金管理有限公司,招商银行股份有限公司,股票型,20190125,20220126,0.7%,0.15%
006352,中金MSCI中国A股国际红利指数发起式证券投资基金C类,中金MSCI中国A股国际红利指数C,中金基金管理有限公司,招商银行股份有限公司,股票型,20190125,20220126,0.7%,0.15%
006354,国泰民裕进取灵活配置混合型证券投资基金,国泰民裕进取灵活配置混合,国泰基金管理有限公司,中国民生银行股份有限公司,混合型,20200929,30001231,1.2%,0.2%
006364,招商丰韵混合型证券投资基金A类,招商丰韵混合A,招商基金管理有限公司,中国工商银行股份有限公司,混合型,20190319,30001231,1.2%,0.2%
006365,招商丰韵混合型证券投资基金C类,招商丰韵混合C,招商基金管理有限公司,中国工商银行股份有限公司,混合型,20190319,30001231,1.2%,0.2%
006370,富兰克林国海大中华精选混合型证券投资基金(QDII)(美元现汇),富兰克林国海大中华精选混合(QDII)(美元现汇),国海富兰克林基金管理有限公司,中国农业银行股份有限公司,其他型,20190415,30001231,1.5%,0.27%
006371,长安鑫盈灵活配置混合型证券投资基金A类,长安鑫盈灵活配置混合A,长安基金管理有限公司,中国工商银行股份有限公司,混合型,20190718,30001231,1.2%,0.2%
006372,长安鑫盈灵活配置混合型证券投资基金C类,长安鑫盈灵活配置混合C,长安基金管理有限公司,中国工商银行股份有限公司,混合型,20190718,30001231,1.2%,0.2%
006378,广发汇宏6个月定期开放债券型发起式证券投资基金,广发汇宏6个月定期开放债券,广发基金管理有限公司,招商银行股份有限公司,债券型,20190514,30001231,0.3%,0.1%
006383,招商添盈纯债债券型证券投资基金A类,招商添盈纯债债券A,招商基金管理有限公司,中国银行股份有限公司,债券型,20190107,30001231,0.6%,0.2%
006384,招商添盈纯债债券型证券投资基金C类,招商添盈纯债债券C,招商基金管理有限公司,中国银行股份有限公司,债券型,20190107,30001231,0.6%,0.2%
006392,中信保诚创新成长灵活配置混合型证券投资基金A类,中信保诚创新成长灵活配置混合A,中信保诚基金管理有限公司,中国建设银行股份有限公司,混合型,20190130,30001231,1.2%,0.2%
006396,长信双利优选混合型证券投资基金E类,长信双利优选混合E,长信基金管理有限责任公司,中国农业银行股份有限公司,混合型,20190904,30001231,1.2%,0.2%
006398,宝盈祥颐定期开放混合型证券投资基金A类,宝盈祥颐定期开放混合A,宝盈基金管理有限公司,中国银行股份有限公司,混合型,20190320,30001231,1%,0.2%
006399,宝盈祥颐定期开放混合型证券投资基金C类,宝盈祥颐定期开放混合C,宝盈基金管理有限公司,中国银行股份有限公司,混合型,20190320,30001231,1%,0.2%
006401,先锋量化优选灵活配置混合型证券投资基金A类,先锋量化优选灵活配置混合A,先锋基金管理有限公司,中国农业银行股份有限公司,混合型,20190515,30001231,1.2%,0.15%
006402,先锋量化优选灵活配置混合型证券投资基金C类,先锋量化优选灵活配置混合C,先锋基金管理有限公司,中国农业银行股份有限公司,混合型,20190515,30001231,1.2%,0.15%
006429,诺安恒鑫混合型证券投资基金,诺安恒鑫混合,诺安基金管理有限公司,招商银行股份有限公司,混合型,20190430,30001231,1.2%,0.2%
006431,汇安鼎利纯债债券型证券投资基金A类,汇安鼎利纯债债券A,汇安基金管理有限责任公司,中国工商银行股份有限公司,债券型,20190320,30001231,0.3%,0.1%
006432,汇安鼎利纯债债券型证券投资基金C类,汇安鼎利纯债债券C,汇安基金管理有限责任公司,中国工商银行股份有限公司,债券型,20190320,30001231,0.3%,0.1%
006435,景顺长城创新成长混合型证券投资基金,景顺长城创新成长混合,景顺长城基金管理有限公司,中国工商银行股份有限公司,混合型,20191017,30001231,1.2%,0.2%
006440,中信建投中证500指数增强型证券投资基金A类,中信建投中证500指数增强A,中信建投基金管理有限公司,中信证券股份有限公司,股票型,20200509,30001231,0.75%,0.1%
006441,中信建投中证500指数增强型证券投资基金C类,中信建投中证500指数增强C,中信建投基金管理有限公司,中信证券股份有限公司,股票型,20200509,30001231,0.75%,0.1%
006449,浙商汇金量化精选灵活配置混合型证券投资基金,浙商汇金量化精选灵活配置混合,浙江浙商证券资产管理有限公司,中国农业银行股份有限公司,混合型,20190325,30001231,1.2%,0.2%
006451,华富中证5年恒定久期国开债指数型证券投资基金A类,华富中证5年恒定久期国开债指数A,华富基金管理有限公司,上海浦东发展银行股份有限公司,债券型,20190128,30001231,0.25%,0.05%
006452,华富中证5年恒定久期国开债指数型证券投资基金C类,华富中证5年恒定久期国开债指数C,华富基金管理有限公司,上海浦东发展银行股份有限公司,债券型,20190128,30001231,0.25%,0.05%
006466,浦银安盛双债增强债券型证券投资基金A类,浦银安盛双债增强债券A,浦银安盛基金管理有限公司,招商银行股份有限公司,债券型,20190521,30001231,0.75%,0.15%
006467,浦银安盛双债增强债券型证券投资基金C类,浦银安盛双债增强债券C,浦银安盛基金管理有限公司,招商银行股份有限公司,债券型,20190521,30001231,0.75%,0.15%
006468,嘉实稳联纯债债券型证券投资基金,嘉实稳联纯债债券,嘉实基金管理有限公司,中国工商银行股份有限公司,债券型,20190530,30001231,0.3%,0.05%
006477,中邮沪港深精选混合型证券投资基金,中邮沪港深精选混合,中邮创业基金管理股份有限公司,招商银行股份有限公司,混合型,20190328,30001231,1.2%,0.2%
006481,海富通上海清算所中高等级短期融资券指数证券投资基金A类,海富通上海清算所中高等级短期融资券指数A,海富通基金管理有限公司,杭州银行股份有限公司,债券型,20190118,30001231,0.25%,0.05%
006489,招商添裕纯债债券型证券投资基金A类,招商添裕纯债债券A,招商基金管理有限公司,交通银行股份有限公司,债券型,20190213,30001231,0.3%,0.1%
